1,2,3,4,5,6,7,8,9,,,,,,
,,,2011," 2,624,470 ","+283,638    ",+12.12          ," 1,352,760 "," 1,271,710 ",,,,,,
,,,,,,,,,,,,,,
21,382,Jajapur,1901," 544,846 ",                       --- ,                    --- ," 263,467 "," 281,379 ",,,,,,
,,,1911," 558,053 ","+13,207    ",+2.42          ," 265,641 "," 292,412 ",,,,,,
,,,1921," 542,368 ","-15,685 ",-2.81 ," 251,156 "," 291,212 ",,,,,,
,,,1931," 577,357 ","+34,989    ",+6.45          ," 273,412 "," 303,945 ",,,,,,
,,,1941," 604,551 ","+27,194    ",+4.71          ," 290,158 "," 314,393 ",,,,,,
,,,1951," 624,633 ","+20,082    ",+3.32          ," 303,824 "," 320,809 ",,,,,,
,,,1961," 760,182 ","+135,549    ",+21.70          ," 374,996 "," 385,186 ",,,,,,
,,,1971," 948,564 ","+188,382    ",+24.78          ," 472,892 "," 475,672 ",,,,,,
,,,1981," 1,136,093 ","+187,529    ",+19.77          ," 569,537 "," 566,556 ",,,,,,
,,,1991," 1,386,177 ","+250,084    ",+22.01          ," 701,005 "," 685,172 ",,,,,,
,,,2001," 1,624,341 ","+238,164    ",+17.18          ," 823,747 "," 800,594 ",,,,,,
,,,2011," 1,827,192 ","+202,851    ",+12.49          ," 926,034 "," 901,158 ",,,,,,
,,,,,,,,,,,,,,
21,383,Dhenkanal,1901," 292,497 ",                       --- ,                    --- ," 144,785 "," 147,712 ",,,,,,
,,,1911," 302,120 ","+9,623    ",+3.29          ," 148,471 "," 153,649 ",,,,,,
,,,1921," 263,405 ","-38,715 ",-12.81 ," 127,033 "," 136,372 ",,,,,,
,,,1931," 324,991 ","+61,586    ",+23.38          ," 158,273 "," 166,718 ",,,,,,
,,,1941," 379,327 ","+54,336    ",+16.72          ," 186,827 "," 192,500 ",,,,,,
,,,1951," 429,097 ","+49,770    ",+13.12          ," 211,515 "," 217,582 ",,,,,,
,,,1961," 526,520 ","+97,423    ",+22.70          ," 263,136 "," 263,384 ",,,,,,
,,,1971," 665,377 ","+138,857    ",+26.37          ," 336,105 "," 329,272 ",,,,,,
,,,1981," 797,053 ","+131,676    ",+19.79          ," 405,303 "," 391,750 ",,,,,,
,,,1991," 947,870 ","+150,817    ",+18.92          ," 485,176 "," 462,694 ",,,,,,
,,,2001," 1,066,878 ","+119,008    ",+12.56          ," 544,001 "," 522,877 ",,,,,,
,,,2011," 1,192,811 ","+125,933    ",+11.80          ," 612,593 "," 580,218 ",,,,,,
,,,,,,,,,,,,,,
21,384,Anugul,1901," 278,144 ",                       --- ,                    --- ," 137,681 "," 140,463 ",,,,,,
,,,1911," 287,294 ","+9,150    ",+3.29          ," 141,185 "," 146,109 ",,,,,,
,,,1921," 250,480 ","-36,814 ",-12.81 ," 120,800 "," 129,680 ",,,,,,
,,,1931," 309,044 ","+58,564    ",+23.38          ," 150,506 "," 158,538 ",,,,,,
,,,1941," 360,714 ","+51,670    ",+16.72          ," 177,660 "," 183,054 ",,,,,,
,,,1951," 408,041 ","+47,327    ",+13.12          ," 203,472 "," 204,569 ",,,,,,
,,,1961," 500,033 ","+91,992    ",+22.54          ," 252,484 "," 247,549 ",,,,,,
,,,1971," 628,537 ","+128,504    ",+25.70          ," 318,229 "," 310,308 ",,,,,,
,,,1981," 785,734 ","+157,197    ",+25.01          ," 403,127 "," 382,607 ",,,,,,
,,,1991," 961,037 ","+175,303    ",+22.31          ," 494,901 "," 466,136 ",,,,,,
,,,2001," 1,140,003 ","+178,966    ",+18.62          ," 587,234 "," 552,769 ",,,,,,
